MATRICES FOR INPUT TO TEST ROUTINES
number of rows and columns:
11
Circuit matrix:
0 1 0 0 0 0 1 1 0 0 0
1 0 1 0 0 0 0 0 0 0 0
0 1 0 1 0 0 0 1 0 0 0
0 0 1 0 1 0 0 1 0 0 0
0 0 0 1 0 1 0 0 0 0 0
0 0 0 0 1 0 1 0 0 0 0
1 0 0 0 0 1 0 0 0 0 1
1 0 1 0 0 0 0 0 1 0 0
0 0 0 0 1 0 0 1 0 1 0
0 0 0 0 0 0 0 0 1 0 1
0 0 0 0 0 0 1 0 0 1 0
Resistance matrix:
0 0 0 0 0 0 0 100 0 0 0
0 0 10 0 0 0 0 0 0 0 0
0 10 0 20 0 0 0 200 0 0 0
0 0 20 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 100 0 0
0 0 0 0 0 0 20 0 0 0 0
0 0 0 0 0 20 0 0 0 0 0
100 0 0 0 0 0 0 0 20 0 0
0 0 0 0 100 0 0 0 0 10 0
0 0 0 0 0 0 0 0 10 0 200
0 0 0 0 0 0 0 0 0 200 0
Voltage matrix:
0 0 0 0 0 0 -10 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
10 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
0 0 0 0 0 0 0 0 0 0 0
